0,1,2,3,4
-0.012683357362069856,-0.012683357362069833,-0.012683357362069938,-0.012683357362069906,-0.012683357362069863
-0.019916295189838458,-0.019916295189838458,-0.01991629518983844,-0.01991629518983842,-0.019916295189838448
-0.022663061906124382,-0.022663061906124403,-0.02266306190612437,-0.02266306190612442,-0.02266306190612441
-0.026246194549690446,-0.026246194549690502,-0.026246194549690426,-0.026246194549690526,-0.026246194549690446
-0.028271355986637096,-0.028271355986637065,-0.02827135598663709,-0.028271355986637055,-0.02827135598663713
-0.029746501980843772,-0.029746501980843807,-0.02974650198084385,-0.029746501980843772,-0.029746501980843807
-0.03168184248066885,-0.03168184248066889,-0.03168184248066882,-0.03168184248066889,-0.031681842480668784
-0.03258946974354512,-0.03258946974354511,-0.03258946974354506,-0.032589469743545096,-0.03258946974354509
-0.03318073203453768,-0.03318073203453766,-0.03318073203453767,-0.03318073203453765,-0.03318073203453764
-0.034092990631388424,-0.03409299063138842,-0.034092990631388445,-0.03409299063138843,-0.03409299063138843
-0.03424403914023022,-0.034244039140230234,-0.034244039140230234,-0.03424403914023023,-0.03424403914023025
-0.03504892108788497,-0.03504892108788495,-0.03504892108788493,-0.03504892108788493,-0.03504892108788493
-0.03696390989616389,-0.0369639098961639,-0.03696390989616396,-0.036963909896163945,-0.03696390989616389
-0.0391356893213251,-0.039135689321325134,-0.039135689321325114,-0.03913568932132511,-0.03913568932132512
-0.038778648705706166,-0.03877864870570619,-0.03877864870570621,-0.038778648705706215,-0.03877864870570617
-0.04000743995534515,-0.04000743995534521,-0.04000743995534512,-0.04000743995534518,-0.04000743995534518
-0.04154756398913223,-0.04154756398913221,-0.04154756398913223,-0.04154756398913223,-0.04154756398913223
-0.04265045624391817,-0.04265045624391818,-0.04265045624391817,-0.04265045624391819,-0.04265045624391817
-0.04318814838248548,-0.04318814838248551,-0.04318814838248548,-0.04318814838248551,-0.04318814838248554
-0.043517221933396834,-0.04351722193339685,-0.043517221933396834,-0.04351722193339685,-0.043517221933396834
-0.04355117989341097,-0.04355117989341097,-0.043551179893410986,-0.043551179893410986,-0.043551179893410986
-0.04314739739723263,-0.04314739739723264,-0.043147397397232674,-0.043147397397232654,-0.04314739739723266
-0.043557015973127895,-0.04355701597312791,-0.04355701597312789,-0.043557015973127895,-0.0435570159731279
-0.044473671440729695,-0.04447367144072969,-0.04447367144072968,-0.04447367144072968,-0.04447367144072967
-0.04472054343663707,-0.044720543436637075,-0.04472054343663707,-0.04472054343663707,-0.04472054343663705
